model_name,debate_role,metric,mean,ci_low,ci_high,n
dolphin-yi-34b,moderator,confidence,0.0,0.0,0.0,0
dolphin-yi-34b,moderator,confidence_delta_within_role,0.0,0.0,0.0,0
dolphin-yi-34b,moderator,word_count,100.6,76.0,125.2,5
dolphin-yi-34b,moderator,avg_sentence_length,21.19,15.66,26.54,5
dolphin-yi-34b,moderator,lemma_type_token_ratio,0.7841427796415008,0.7146291560102301,0.8437453305432844,5
dolphin-yi-34b,moderator,vader_compound,-0.6054200000000001,-0.9136599999999999,-0.048880000000000014,5
dolphin-yi-34b,moderator,evidence_density_per_1k_words,106.7328371086758,83.39664919578122,134.01639344262293,5
dolphin-yi-34b,moderator,rebuttal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,moderator,hedge_density_per_1k_words,10.795926894145895,5.757669983416257,15.30530408068945,5
dolphin-yi-34b,moderator,assertive_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,moderator,strong_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,moderator,weak_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,moderator,moral_density_per_1k_words,1.6923207880115485,1.2578082881541885,2.23012454999241,5
dolphin-yi-34b,moderator,stance_proxy_score,0.2,0.0,0.6,5
dolphin-yi-34b,moderator,assertiveness_balance,-0.010795926894145894,-0.01530530408068945,-0.005033074489502445,5
dolphin-yi-34b,moderator,modality_balance,0.0,0.0,0.0,5
dolphin-yi-34b,moderator,lexical_overlap_prev_other_turn,0.21929877891572752,0.15191340864730585,0.29024646330680814,5
dolphin-yi-34b,moderator,semantic_similarity_prev_other_turn,0.6440045341125261,0.5953321226826546,0.6814521014590629,5
dolphin-yi-34b,moderator,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,5
dolphin-yi-34b,moderator,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
dolphin-yi-34b,moderator,novelty_vs_prev_turn_lexical,0.7807012210842725,0.7071125120948235,0.848086591352694,5
dolphin-yi-34b,moderator,novelty_vs_prev_turn_semantic,0.3559954658874739,0.3162209313910931,0.4046678773173453,5
dolphin-yi-34b,moderator,novelty_vs_prev_opponent_turn_lexical,1.0,1.0,1.0,5
dolphin-yi-34b,moderator,novelty_vs_prev_opponent_turn_semantic,0.0,0.0,0.0,0
dolphin-yi-34b,opponent,confidence,60.8,55.6,70.4,5
dolphin-yi-34b,opponent,confidence_delta_within_role,6.25,0.25,17.5,4
dolphin-yi-34b,opponent,word_count,19.0,17.2,21.2,5
dolphin-yi-34b,opponent,avg_sentence_length,19.0,17.2,21.2,5
dolphin-yi-34b,opponent,lemma_type_token_ratio,1.0,1.0,1.0,5
dolphin-yi-34b,opponent,vader_compound,-0.45920000000000005,-0.5397000000000001,-0.3843,5
dolphin-yi-34b,opponent,evidence_density_per_1k_words,32.30676328502416,8.695652173913043,54.528985507246375,5
dolphin-yi-34b,opponent,rebuttal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,hedge_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,assertive_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,strong_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,weak_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,moral_density_per_1k_words,8.880808192639424,7.985921338402571,9.964740646533661,5
dolphin-yi-34b,opponent,stance_proxy_score,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,assertiveness_balance,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,modality_balance,0.0,0.0,0.0,5
dolphin-yi-34b,opponent,lexical_overlap_prev_other_turn,0.42980769230769234,0.31730769230769235,0.5423076923076924,5
dolphin-yi-34b,opponent,semantic_similarity_prev_other_turn,0.7454640674860054,0.6802755489658774,0.8007850687414846,5
dolphin-yi-34b,opponent,lexical_overlap_prev_opponent_turn,0.42980769230769234,0.31730769230769235,0.5250480769230769,5
dolphin-yi-34b,opponent,semantic_similarity_prev_opponent_turn,0.7454640674860054,0.6907321963537234,0.8020144234402213,5
dolphin-yi-34b,opponent,novelty_vs_prev_turn_lexical,0.5701923076923077,0.45,0.6826923076923077,5
dolphin-yi-34b,opponent,novelty_vs_prev_turn_semantic,0.25453593251399453,0.19921493125851533,0.32064667953154247,5
dolphin-yi-34b,opponent,novelty_vs_prev_opponent_turn_lexical,0.5701923076923077,0.4625,0.675,5
dolphin-yi-34b,opponent,novelty_vs_prev_opponent_turn_semantic,0.25453593251399453,0.19951312208292468,0.31101817204347665,5
dolphin-yi-34b,proponent,confidence,53.2,51.8,54.4,5
dolphin-yi-34b,proponent,confidence_delta_within_role,-1.0,-1.75,-0.25,4
dolphin-yi-34b,proponent,word_count,22.0,20.4,23.604999999999997,5
dolphin-yi-34b,proponent,avg_sentence_length,22.0,20.4,23.8,5
dolphin-yi-34b,proponent,lemma_type_token_ratio,1.0,1.0,1.0,5
dolphin-yi-34b,proponent,vader_compound,-0.64284,-0.76816,-0.51752,5
dolphin-yi-34b,proponent,evidence_density_per_1k_words,8.695652173913043,0.0,26.086956521739133,5
dolphin-yi-34b,proponent,rebuttal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,hedge_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,assertive_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,strong_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,weak_modal_density_per_1k_words,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,moral_density_per_1k_words,7.33552700528345,6.178826175007103,8.276597660710054,5
dolphin-yi-34b,proponent,stance_proxy_score,0.0,0.0,0.0,5
dolphin-yi-34b,proponent,assertiveness_balance,0.0,0.0,0.0,5
