model_name,metric,paired_runs,paired_gap_mean,paired_gap_ci_low,paired_gap_ci_high,paired_gap_median,paired_gap_q10,paired_gap_q90,paired_gap_positive_rate
gemma3:27b,confidence,1,-2.200000000000003,-2.200000000000003,-2.200000000000003,-2.200000000000003,-2.200000000000003,-2.200000000000003,0.0
gemma3:27b,confidence_delta_within_role,1,-3.0,-3.0,-3.0,-3.0,-3.0,-3.0,0.0
gemma3:27b,word_count,1,-3.3999999999999986,-3.3999999999999986,-3.3999999999999986,-3.3999999999999986,-3.3999999999999986,-3.3999999999999986,0.0
gemma3:27b,avg_sentence_length,1,6.700000000000003,6.700000000000003,6.700000000000003,6.700000000000003,6.700000000000003,6.700000000000003,1.0
gemma3:27b,lemma_type_token_ratio,1,0.023905723905723875,0.023905723905723875,0.023905723905723875,0.023905723905723875,0.023905723905723875,0.023905723905723875,1.0
gemma3:27b,vader_compound,1,0.5939800000000001,0.5939800000000001,0.5939800000000001,0.5939800000000001,0.5939800000000001,0.5939800000000001,1.0
gemma3:27b,evidence_density_per_1k_words,1,-2.6376012521485066,-2.6376012521485066,-2.6376012521485066,-2.6376012521485066,-2.6376012521485066,-2.6376012521485066,0.0
gemma3:27b,rebuttal_density_per_1k_words,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,hedge_density_per_1k_words,1,-4.350255427841635,-4.350255427841635,-4.350255427841635,-4.350255427841635,-4.350255427841635,-4.350255427841635,0.0
gemma3:27b,assertive_density_per_1k_words,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,strong_modal_density_per_1k_words,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,weak_modal_density_per_1k_words,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,moral_density_per_1k_words,1,0.5486734285116031,0.5486734285116031,0.5486734285116031,0.5486734285116031,0.5486734285116031,0.5486734285116031,1.0
gemma3:27b,stance_proxy_score,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,assertiveness_balance,1,0.0043502554278416344,0.0043502554278416344,0.0043502554278416344,0.0043502554278416344,0.0043502554278416344,0.0043502554278416344,1.0
gemma3:27b,modality_balance,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,lexical_overlap_prev_other_turn,1,-0.0711976975979237,-0.0711976975979237,-0.0711976975979237,-0.0711976975979237,-0.0711976975979237,-0.0711976975979237,0.0
gemma3:27b,semantic_similarity_prev_other_turn,1,-0.11414386871444904,-0.11414386871444904,-0.11414386871444904,-0.11414386871444904,-0.11414386871444904,-0.11414386871444904,0.0
gemma3:27b,lexical_overlap_prev_opponent_turn,1,-0.06993424496278675,-0.06993424496278675,-0.06993424496278675,-0.06993424496278675,-0.06993424496278675,-0.06993424496278675,0.0
gemma3:27b,semantic_similarity_prev_opponent_turn,1,-0.06403188382171165,-0.06403188382171165,-0.06403188382171165,-0.06403188382171165,-0.06403188382171165,-0.06403188382171165,0.0
gemma3:27b,novelty_vs_prev_turn_lexical,1,0.07119769759792371,0.07119769759792371,0.07119769759792371,0.07119769759792371,0.07119769759792371,0.07119769759792371,1.0
gemma3:27b,novelty_vs_prev_turn_semantic,1,0.11414386871444898,0.11414386871444898,0.11414386871444898,0.11414386871444898,0.11414386871444898,0.11414386871444898,1.0
gemma3:27b,novelty_vs_prev_opponent_turn_lexical,1,0.06993424496278666,0.06993424496278666,0.06993424496278666,0.06993424496278666,0.06993424496278666,0.06993424496278666,1.0
gemma3:27b,novelty_vs_prev_opponent_turn_semantic,1,0.06403188382171165,0.06403188382171165,0.06403188382171165,0.06403188382171165,0.06403188382171165,0.06403188382171165,1.0
