round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_surprise_count,nrc_surprise_density,nrc_anticipation_count,nrc_anticipation_density,nrc_positive_count,nrc_positive_density,nrc_fear_count,nrc_fear_density,nrc_disgust_count,nrc_disgust_density,nrc_joy_count,nrc_joy_density,nrc_anger_count,nrc_anger_density,nrc_trust_count,nrc_trust_density,emotion_joy,emotion_fear,emotion_anger,emotion_sadness,emotion_love,emotion_surprise,nrc_sadness_count,nrc_sadness_density,nrc_negative_count,nrc_negative_density
1,opponent,60.0,1.0,-0.1111111111111111,0.7222222222222222,0.0,0.0,37.0,260.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,3.0,0.08108108108108109,4.0,0.10810810810810811,1.0,0.02702702702702703,1.0,0.02702702702702703,0.0,0.0,2.0,0.05405405405405406,3.0,0.08108108108108109,0.9727820754051208,0.008887085132300854,0.0030304654501378536,0.012575055472552776,0.001124422182328999,0.0016009114915505052,1.0,0.02702702702702703,1.0,0.02702702702702703
1,proponent,55.0,0.0,0.09999999999999999,0.37777777777777777,0.0,0.0,31.0,224.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,4.0,0.12903225806451613,5.0,0.16129032258064516,2.0,0.06451612903225806,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0,0.03225806451612903,1.0,0.03225806451612903,0.9815016388893127,0.007013448514044285,0.005796675104647875,0.0034885569475591183,0.0012736368225887418,0.0009261209634132683,0.0,0.0,0.0,0.0
2,opponent,61.0,4.0,0.0,1.0,0.0,0.0,35.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857142857142857,4.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08571428571428572,0.9751186966896057,0.005589159205555916,0.0026938514783978462,0.01290976908057928,0.0023648811038583517,0.0013236998347565532,1.0,0.02857142857142857,1.0,0.02857142857142857
2,proponent,50.0,2.0,-0.0625,0.34375,0.0,0.0,43.0,306.0,0.0,0.0,0.0,0.0,0.0,1.0,0.023255813953488372,2.0,0.046511627906976744,3.0,0.06976744186046512,2.0,0.046511627906976744,0.0,0.0,0.0,0.0,2.0,0.046511627906976744,1.0,0.023255813953488372,0.35038208961486816,0.06662949919700623,0.09033761918544769,0.48583799600601196,0.0037664826959371567,0.003046354977414012,0.0,0.0,2.0,0.046511627906976744
3,opponent,63.0,7.0,0.03333333333333333,0.7999999999999999,0.0,0.0,45.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.1111111111111111,1.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.044444444444444446,0.05339822918176651,0.013803208246827126,0.5333852767944336,0.3940719664096832,0.003946767188608646,0.0013945376267656684,0.0,0.0,2.0,0.044444444444444446
3,proponent,47.0,5.0,0.08333333333333333,0.125,0.0,0.0,36.0,299.0,0.0,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,2.0,0.05555555555555555,2.0,0.05555555555555555,1.0,0.027777777777777776,0.0,0.0,1.0,0.027777777777777776,1.0,0.027777777777777776,0.4713018834590912,0.009694603271782398,0.373117595911026,0.1366918832063675,0.005777088459581137,0.003417004831135273,1.0,0.027777777777777776,2.0,0.05555555555555555
4,opponent,64.0,10.0,0.0,0.5416666666666666,0.0,0.0,39.0,287.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,1.0,0.02564102564102564,0.8395342826843262,0.00781516544520855,0.08969781547784805,0.055056460201740265,0.0048874602653086185,0.0030088569037616253,0.0,0.0,3.0,0.07692307692307693
4,proponent,43.0,8.0,0.16666666666666666,0.5333333333333333,0.0,0.0,36.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05555555555555555,5.0,0.1388888888888889,1.0,0.027777777777777776,1.0,0.027777777777777776,0.0,0.0,1.0,0.027777777777777776,1.0,0.027777777777777776,0.6677799820899963,0.011395685374736786,0.27037501335144043,0.04385467246174812,0.0033749102149158716,0.003219738369807601,0.0,0.0,2.0,0.05555555555555555
5,opponent,66.0,13.0,0.5,0.5,0.0,0.0,30.0,185.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,1.0,0.03333333333333333,0.0,0.0,3.0,0.1,2.0,0.06666666666666667,0.0,0.0,2.0,0.06666666666666667,1.0,0.03333333333333333,0.8639265894889832,0.007925805635750294,0.022629907354712486,0.09927208721637726,0.003326879581436515,0.002918829210102558,2.0,0.06666666666666667,4.0,0.13333333333333333
5,proponent,38.0,11.0,-0.25,0.75,0.0,0.0,39.0,299.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,1.0,0.02564102564102564,3.0,0.07692307692307693,2.0,0.05128205128205128,0.0,0.0,2.0,0.05128205128205128,0.0,0.0,0.12392011284828186,0.08028843253850937,0.05691980943083763,0.731046736240387,0.003190160496160388,0.004634728655219078,2.0,0.05128205128205128,3.0,0.07692307692307693
