round,emotion_anger,emotion_anticipation,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_trust
1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.2
2,0.045454545454545456,0.09090909090909091,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.09090909090909091
3,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.17647058823529413,0.0,0.058823529411764705,0.0,0.058823529411764705
4,0.0625,0.125,0.125,0.125,0.0,0.0,0.0,0.125
5,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667
