topic_id,num_debates,scientist_wins,conspiracy_wins,ties,unknown,most_likely_winner,scientist_win_rate,conspiracy_win_rate,num_utterances,dominant_bert_emotion,bert_share_disgust,bert_share_fear,bert_share_neutral,bert_meanprob_anger,bert_meanprob_disgust,bert_meanprob_fear,bert_meanprob_joy,bert_meanprob_neutral,bert_meanprob_sadness,bert_meanprob_surprise,bert_share_anger,bert_share_surprise,bert_share_joy
5g_health_risks,8,7,0,0,1,scientist,0.875,0.0,99,neutral,0.04040404040404041,0.1111111111111111,0.8484848484848485,0.07515159777995914,0.10755818485131845,0.1275939041480535,0.00464811681880324,0.6485949966191041,0.025495790213233595,0.010957409503088907,,,
9_11_inside_job,8,6,1,0,1,scientist,0.75,0.125,93,neutral,0.010752688172043012,0.043010752688172046,0.9354838709677419,0.09826414612552492,0.09472892672244099,0.06090732478857121,0.004832517122849822,0.6934709633670507,0.027019758046584665,0.020776353698844712,0.010752688172043012,,
ai_surveillance,8,5,0,0,3,scientist,0.625,0.0,114,neutral,0.017543859649122806,0.043859649122807015,0.9298245614035088,0.0665433875350445,0.09465266080785609,0.06694247472312367,0.004795733675883527,0.7278907547394434,0.010503762483335378,0.028671234264038503,0.008771929824561403,,
big_pharma,8,6,0,0,2,scientist,0.75,0.0,105,neutral,0.1523809523809524,,0.819047619047619,0.1410892591589973,0.22591513875162317,0.015262002374843828,0.003789397323548439,0.5830000891571954,0.01948255394097595,0.011461564376285033,0.02857142857142857,,
chemtrails,8,7,0,0,1,scientist,0.875,0.0,93,neutral,0.25806451612903225,0.010752688172043012,0.7096774193548387,0.12718610006875247,0.21933241104406695,0.05758823551768337,0.0034398496431368654,0.5578658980748026,0.016500055301754225,0.018087464448575293,0.021505376344086023,,
climate_change_hoax,8,6,0,0,2,scientist,0.75,0.0,90,neutral,0.1,0.03333333333333333,0.8444444444444444,0.11238125519206127,0.1615851255495929,0.05022539072152641,0.004896403097599331,0.6428533759382036,0.016669034538790584,0.011389410194371723,0.022222222222222223,,
covid_vaccine_microchips,8,5,0,1,2,scientist,0.625,0.0,90,neutral,0.044444444444444446,0.06666666666666667,0.8666666666666667,0.08927350031832854,0.09858869496836431,0.10891252347630345,0.00612495510916536,0.6506119590666559,0.012494361598510296,0.03399401093677928,0.011111111111111112,0.011111111111111112,
cryptocurrency_control,8,5,0,0,3,scientist,0.625,0.0,90,neutral,0.03333333333333333,0.044444444444444446,0.9111111111111111,0.07434499645605683,0.08113566961967283,0.06663897219502056,0.004087043882140683,0.7506496340036393,0.010903347666478819,0.012240347382612527,0.011111111111111112,,
deep_state,8,5,0,0,3,scientist,0.625,0.0,120,neutral,0.125,,0.875,0.06957485487218946,0.18290879706231256,0.024890612739060694,0.0031853054688932994,0.6909658427660664,0.013883716069782774,0.014590864290948958,,,
election_fraud,8,6,0,0,2,scientist,0.75,0.0,105,neutral,0.047619047619047616,0.047619047619047616,0.8952380952380953,0.08958812301002797,0.09678847010114364,0.08426573828661016,0.005279212611882637,0.6963801143070062,0.014061431380520973,0.013636908865356375,0.009523809523809525,,
federal_reserve,8,4,1,0,3,scientist,0.5,0.125,117,neutral,0.07692307692307693,,0.905982905982906,0.08674610200791787,0.16108945733270583,0.022179696070125852,0.00630063677761847,0.6951536043968976,0.016852052267402027,0.011678451508020934,0.017094017094017096,,
flat_earth,8,7,0,0,1,scientist,0.875,0.0,93,neutral,0.12903225806451613,,0.8494623655913979,0.11476905571336868,0.17726019668763363,0.03879041031944335,0.004372283636707492,0.6284347768592579,0.01578511627170668,0.02058815793634983,0.021505376344086023,,
fluoride_water,8,4,0,0,4,scientist,0.5,0.0,114,neutral,0.18421052631578946,0.03508771929824561,0.7719298245614035,0.0937940653887365,0.23991137484840133,0.06768656858006133,0.009547680401418913,0.564949459894642,0.015243602939064434,0.008867256187123099,0.008771929824561403,,
food_additives,8,7,0,0,1,scientist,0.875,0.0,105,neutral,0.1523809523809524,0.01904761904761905,0.7619047619047619,0.12727598879663718,0.19812906053626822,0.04385874443465755,0.004046953389132839,0.5995189998919765,0.01804259671341805,0.009127641713158005,0.06666666666666667,,
gmo_dangers,8,6,0,1,1,scientist,0.75,0.0,111,neutral,0.12612612612612611,0.009009009009009009,0.8468468468468469,0.11793838558836026,0.19988579259396674,0.03209150476204987,0.004445447520403242,0.6227616636535606,0.015332878990988206,0.007544321034246267,0.018018018018018018,,
jfk_assassination,8,6,1,0,1,scientist,0.75,0.125,117,neutral,0.05128205128205128,0.11965811965811966,0.7863247863247863,0.11933618033320731,0.11718967756351982,0.13207649865434465,0.005501295908545263,0.5887873535737013,0.0181545811609771,0.018954411033604644,0.042735042735042736,,
