phase,metric,winner_mean,loser_mean,winner_minus_loser
early,confidence,53.640776699029125,54.10952380952381,-0.4687471104946823
early,strong_modality_density,0.0019328650039488102,0.0013208197031726444,0.0006120453007761658
early,weak_modality_density,0.004582854046419898,0.0017233195022241675,0.0028595345441957305
early,modality_balance,-0.10679611650485436,-0.014285714285714285,-0.09251040221914007
early,polarity,0.08258056903991372,0.04245082629011201,0.04012974274980171
early,subjectivity,0.3680988981353059,0.3788293479007764,-0.010730449765470496
middle,confidence,55.99038461538461,50.43689320388349,5.5534914115011205
middle,strong_modality_density,0.0017495943166339503,0.00028555111364934324,0.0014640432029846071
middle,weak_modality_density,0.005565280656235982,0.0027002114080174736,0.0028650692482185083
middle,modality_balance,-0.15865384615384615,-0.04854368932038835,-0.11011015683345779
middle,polarity,0.06754213668276168,0.05870398081268401,0.00883815587007767
middle,subjectivity,0.37726228384710525,0.3630573265346151,0.014204957312490163
late,confidence,62.52857142857143,47.92307692307692,14.605494505494512
late,strong_modality_density,0.0010139440391541232,0.0011285948383806138,-0.00011465079922649054
late,weak_modality_density,0.00268926199299996,0.0025421011202133026,0.00014716087278665753
late,modality_balance,-0.06666666666666667,-0.038461538461538464,-0.028205128205128202
late,polarity,0.062231093245378954,0.06454859203296703,-0.0023174987875880793
late,subjectivity,0.42501316051673194,0.3678838141025641,0.057129346414167836
