topic_id,num_utterances,dominant_bert_emotion,bert_share_disgust,bert_share_fear,bert_share_neutral,bert_meanprob_anger,bert_meanprob_disgust,bert_meanprob_fear,bert_meanprob_joy,bert_meanprob_neutral,bert_meanprob_sadness,bert_meanprob_surprise,bert_share_anger,bert_share_surprise,bert_share_joy
5g_health_risks,99,neutral,0.04040404040404041,0.1111111111111111,0.8484848484848485,0.07411811889309172,0.09986707123908957,0.13330833471351952,0.004913580437505975,0.6503035132443965,0.025900431541782436,0.011588947558211106,,,
9_11_inside_job,93,neutral,0.010752688172043012,0.043010752688172046,0.9354838709677419,0.09799621897118707,0.08565538204825854,0.06282069101448982,0.005122919697114216,0.6990469604109725,0.027478085840821908,0.02187974176429693,0.010752688172043012,,
ai_surveillance,114,neutral,0.017543859649122806,0.05263157894736842,0.9210526315789473,0.06611520866454955,0.08857741574920192,0.06935785857658311,0.005093977589511492,0.7302617242461756,0.010842365508882753,0.029751457655884064,0.008771929824561403,,
big_pharma,105,neutral,0.1523809523809524,,0.8095238095238095,0.14463715379436812,0.2230518523426283,0.017399151634336227,0.004057138492464132,0.5787341596115203,0.020022257432962456,0.012098282660978536,0.0380952380952381,,
chemtrails,93,neutral,0.24731182795698925,0.021505376344086023,0.7096774193548387,0.12988571307912308,0.21556115336716175,0.06042527576397744,0.003800616975152685,0.5538267899024231,0.017126117412361405,0.019374344480394195,0.021505376344086023,,
climate_change_hoax,90,neutral,0.1,0.03333333333333333,0.8444444444444444,0.11573828681268626,0.16057534188859993,0.051220150043567024,0.005287243127046774,0.6378598183807399,0.017240678627664843,0.012078483132386787,0.022222222222222223,,
covid_vaccine_microchips,90,neutral,0.044444444444444446,0.07777777777777778,0.8555555555555555,0.09024265577188796,0.0941548370445768,0.11492924396879971,0.0064819663090424405,0.6459963542719682,0.0129360674156083,0.03525886757092343,0.011111111111111112,0.011111111111111112,
cryptocurrency_control,90,neutral,0.03333333333333333,0.05555555555555555,0.9,0.07467227101119028,0.0774097541657587,0.07229666928113955,0.004470668068259126,0.7471058684918616,0.011193778443460664,0.012850990912152662,0.011111111111111112,,
deep_state,120,neutral,0.125,,0.875,0.07020784453100835,0.18051009599585086,0.026019887531098598,0.0034756549265390884,0.6902767357726892,0.014220788584013159,0.015288993062373872,,,
election_fraud,105,neutral,0.047619047619047616,0.047619047619047616,0.8857142857142857,0.08961551957985475,0.0939415867662146,0.08624559401179709,0.005545879215268152,0.6955132727821668,0.01458014756485465,0.014558011459718858,0.01904761904761905,,
federal_reserve,117,neutral,0.07692307692307693,,0.905982905982906,0.08762811065420635,0.15649152469112831,0.024744110066507362,0.0066307333504988086,0.6945530254170935,0.017161942785605788,0.012790559510437723,0.017094017094017096,,
flat_earth,93,neutral,0.12903225806451613,,0.8494623655913979,0.11557461135590108,0.17108703934918007,0.041188001615165545,0.00464898856514464,0.6295780984144057,0.016411549304061197,0.021511723132183153,0.021505376344086023,,
fluoride_water,114,neutral,0.18421052631578946,0.043859649122807015,0.7543859649122807,0.0940453877770587,0.2355078469079576,0.07129880591303829,0.009966887275814977,0.5639278646721914,0.015718950971699598,0.009534249791932669,0.017543859649122806,,
food_additives,105,neutral,0.1523809523809524,0.01904761904761905,0.7619047619047619,0.13049728913853567,0.1949388911060634,0.04885294111445546,0.004348238034262543,0.5930330238171986,0.01863455680376362,0.009695057640783489,0.06666666666666667,,
gmo_dangers,111,neutral,0.12612612612612611,0.009009009009009009,0.8468468468468469,0.11920862715389277,0.19521399298766712,0.03417387650125903,0.004701771317700109,0.6227393245643323,0.015815419759517453,0.008146978357307579,0.018018018018018018,,
jfk_assassination,117,neutral,0.05128205128205128,0.11965811965811966,0.7863247863247863,0.11888194933501828,0.11062551931772605,0.13492395320477393,0.005886790058058169,0.5911896709257212,0.018579322878573824,0.019912789838436324,0.042735042735042736,,
moon_landing_hoax,93,neutral,0.053763440860215055,0.021505376344086023,0.8817204301075269,0.10532609195578643,0.11652538104243176,0.05139010563062164,0.024423803587103644,0.665221979621277,0.013383477483124982,0.023729160660877824,0.021505376344086023,,0.021505376344086023
mrna_vaccine_safety,93,neutral,0.053763440860215055,0.17204301075268819,0.7311827956989247,0.09624356817033503,0.11231742260516972,0.16815895110028245,0.005334792542271316,0.5901199318869139,0.01594076778299065,0.011884557313576181,0.043010752688172046,,
pearl_harbor,120,neutral,0.09166666666666666,0.125,0.6583333333333333,0.1333431325930481,0.10151137201658761,0.13901486961791912,0.004530015758549174,0.5179360024941464,0.016906770650530235,0.08675783502694685,0.058333333333333334,0.06666666666666667,
social_media_mind_control,108,neutral,0.07407407407407407,,0.8518518518518519,0.15603075086794518,0.16337333317777072,0.020922059648135607,0.0045311294164060165,0.6329950931033602,0.013128723684025722,0.0090189097401755,0.07407407407407407,,
