round,emotion_anger,emotion_anticipation,emotion_disgust,emotion_fear,emotion_joy,emotion_sadness,emotion_surprise,emotion_trust
1,0.1,0.08888888888888889,0.03333333333333333,0.08888888888888889,0.05555555555555555,0.1111111111111111,0.044444444444444446,0.14444444444444443
2,0.10666666666666667,0.05333333333333334,0.013333333333333334,0.05333333333333334,0.04,0.06666666666666667,0.013333333333333334,0.14666666666666667
3,0.13559322033898305,0.11864406779661017,0.01694915254237288,0.11864406779661017,0.03389830508474576,0.06779661016949153,0.01694915254237288,0.22033898305084745
4,0.07575757575757576,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.07575757575757576,0.030303030303030304,0.16666666666666666
5,0.14102564102564102,0.07692307692307693,0.05128205128205128,0.1282051282051282,0.07692307692307693,0.08974358974358974,0.02564102564102564,0.19230769230769232
