run_id,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260208_164615,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_165632,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_165632,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_170602,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_170602,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_171702,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_171702,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_174705,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_174705,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_175659,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_180806,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_181707,moderator,-1.0,2.0,3.0,-1,1,1,5
run_20260208_182754,moderator,0.0,0.0,0.0,0,0,0,4
run_20260208_183421,moderator,0.0,-4.0,-4.0,0,-1,0,3
run_20260208_184104,moderator,0.0,1.0,1.0,0,1,0,3
run_20260208_185127,moderator,-1.0,-1.0,0.0,-1,-1,0,5
run_20260208_190136,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_190908,moderator,-1.0,-1.0,0.0,-1,-1,0,3
run_20260208_191723,moderator,-2.0,0.0,2.0,-1,0,0,4
run_20260208_192427,moderator,2.0,-1.0,-3.0,1,-1,1,3
run_20260208_193147,moderator,-1.0,0.0,1.0,-1,0,0,4
run_20260208_194248,moderator,2.0,-3.0,-5.0,1,-1,1,5
run_20260208_195239,moderator,-2.0,-1.0,1.0,-1,-1,0,5
run_20260208_200438,moderator,1.0,0.0,-1.0,1,0,0,5
run_20260208_201943,moderator,1.0,1.0,0.0,1,1,0,5
run_20260208_203158,moderator,1.0,4.0,3.0,1,1,0,5
run_20260208_204216,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_205053,moderator,1.0,1.0,0.0,1,1,0,4
run_20260208_205909,moderator,0.0,-1.0,-1.0,0,-1,0,4
run_20260208_210903,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260208_211930,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260208_213010,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_213916,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_215002,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_220438,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_221341,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_222452,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260208_223401,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_224720,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_225610,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_230757,opponent,1.0,1.0,0.0,1,1,0,5
run_20260208_232003,opponent,-0.0,2.0,2.0,0,1,0,5
run_20260208_232236,opponent,-0.0,-0.0,0.0,0,0,0,1
run_20260208_233447,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_234249,opponent,-0.0,1.0,1.0,0,1,0,3
run_20260208_235331,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_000422,opponent,-1.0,-1.0,0.0,-1,-1,0,5
run_20260209_001549,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_002606,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_003339,proponent,0.0,1.0,1.0,0,1,0,4
run_20260209_004319,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_005159,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_005727,proponent,0.0,0.0,0.0,0,0,0,3
run_20260209_010259,proponent,0.0,0.0,0.0,0,0,0,3
run_20260209_011246,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_012111,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_012644,proponent,0.0,0.0,0.0,0,0,0,3
run_20260209_013459,proponent,0.0,0.0,0.0,0,0,0,4
run_20260209_014052,proponent,0.0,0.0,0.0,0,0,0,3
run_20260209_015011,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_015734,proponent,-1.0,0.0,1.0,-1,0,0,4
run_20260209_020547,proponent,0.0,0.0,0.0,0,0,0,4
run_20260209_021456,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_022434,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_023022,proponent,0.0,0.0,0.0,0,0,0,3
run_20260209_023906,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_024743,proponent,1.0,0.0,-1.0,1,0,0,5
run_20260209_025602,proponent,0.0,0.0,0.0,0,0,0,5
run_20260209_030331,proponent,0.0,0.0,0.0,0,0,0,4
run_20260209_031020,moderator,-1.0,-1.0,0.0,-1,-1,0,3
run_20260209_031020,opponent,1.0,1.0,0.0,1,1,0,3
run_20260209_032052,moderator,-2.0,-3.0,-1.0,-1,-1,0,4
run_20260209_032052,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260209_033256,moderator,1.0,-1.0,-2.0,1,-1,1,5
run_20260209_033256,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_034539,moderator,0.0,2.0,2.0,0,1,0,5
run_20260209_034539,opponent,-0.0,-0.0,0.0,0,0,0,4
run_20260209_035703,moderator,0.0,1.0,1.0,0,1,0,5
run_20260209_035703,opponent,1.0,-0.0,-1.0,1,0,0,5
run_20260209_040419,moderator,1.0,-2.0,-3.0,1,-1,1,3
run_20260209_040419,opponent,-0.0,1.0,1.0,0,1,0,3
run_20260209_041334,moderator,-1.0,-1.0,0.0,-1,-1,0,5
run_20260209_041334,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_042417,moderator,0.0,1.0,1.0,0,1,0,5
run_20260209_042417,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_043103,moderator,0.0,2.0,2.0,0,1,0,3
run_20260209_043103,opponent,-0.0,-0.0,0.0,0,0,0,3
run_20260209_044155,moderator,2.0,0.0,-2.0,1,0,0,5
run_20260209_044155,opponent,-0.0,1.0,1.0,0,1,0,5
run_20260209_045507,moderator,1.0,1.0,0.0,1,1,0,5
run_20260209_045507,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260209_050410,moderator,-2.0,-1.0,1.0,-1,-1,0,4
run_20260209_050410,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260209_051337,moderator,-1.0,2.0,3.0,-1,1,1,4
