debate_role,stage,metric,mean,ci_low,ci_high,n
moderator,closing,confidence,0.0,0.0,0.0,0
moderator,closing,confidence_delta_within_role,0.0,0.0,0.0,0
moderator,closing,word_count,182.53146853146853,178.87412587412587,186.26713286713286,143
moderator,closing,avg_sentence_length,37.81353923853924,36.27450216450217,39.36161754911755,143
moderator,closing,lemma_type_token_ratio,0.7435967019301147,0.7357325110529969,0.751915040287223,143
moderator,closing,vader_compound,-0.1999111888111888,-0.3239080419580419,-0.07948543706293709,143
moderator,closing,evidence_density_per_1k_words,72.16941882658519,69.3614768878525,75.27572343179034,143
moderator,closing,rebuttal_density_per_1k_words,0.49161450011595964,0.2410678509026749,0.7967085939704898,143
moderator,closing,hedge_density_per_1k_words,3.0416889537225074,2.424279384593216,3.7712522757656646,143
moderator,closing,assertive_density_per_1k_words,0.29035346122509365,0.07560891228814434,0.5680541199865184,143
moderator,closing,strong_modal_density_per_1k_words,0.07117840179918766,0.0,0.18336567976186668,143
moderator,closing,weak_modal_density_per_1k_words,0.0,0.0,0.0,143
moderator,closing,moral_density_per_1k_words,0.9120021157367085,0.8917549495756454,0.9349946997744751,143
moderator,closing,stance_proxy_score,0.951048951048951,0.7412587412587412,1.1610139860139859,143
moderator,closing,assertiveness_balance,-0.002751335492497414,-0.003554722007372899,-0.0020007955456404956,143
moderator,closing,modality_balance,7.117840179918766e-05,0.0,0.0001798428908403332,143
moderator,closing,lexical_overlap_prev_other_turn,0.12307369513675423,0.11601935498780441,0.1300515148860956,143
moderator,closing,semantic_similarity_prev_other_turn,0.5917200737403264,0.5769724121829781,0.6067279100362716,143
moderator,closing,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,143
moderator,closing,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
moderator,closing,novelty_vs_prev_turn_lexical,0.8769263048632456,0.8698517529920563,0.8839187316427055,143
moderator,closing,novelty_vs_prev_turn_semantic,0.4082799262596735,0.3928783274499912,0.4246476549073333,143
moderator,closing,novelty_vs_prev_opponent_turn_lexical,1.0,1.0,1.0,143
moderator,closing,novelty_vs_prev_opponent_turn_semantic,0.0,0.0,0.0,0
moderator,middle,confidence,0.0,0.0,0.0,0
moderator,middle,confidence_delta_within_role,0.0,0.0,0.0,0
moderator,middle,word_count,184.84677419354838,180.7820564516129,188.99233870967743,124
moderator,middle,avg_sentence_length,38.65789170506913,36.92194916474654,40.394144105222736,124
moderator,middle,lemma_type_token_ratio,0.7428949337869235,0.7354156783381116,0.750210708330699,124
moderator,middle,vader_compound,-0.18911693548387096,-0.31474538306451605,-0.06484895161290323,124
moderator,middle,evidence_density_per_1k_words,71.93765059348485,68.97235346493402,75.17504356088148,124
moderator,middle,rebuttal_density_per_1k_words,0.6844450464165648,0.35326196320046,1.048197900394883,124
moderator,middle,hedge_density_per_1k_words,2.847907234821454,2.1843174766443605,3.543111991935071,124
moderator,middle,assertive_density_per_1k_words,0.3259883195512572,0.12051897558650707,0.561631982331171,124
moderator,middle,strong_modal_density_per_1k_words,0.11454791684073637,0.0,0.24241551459293392,124
moderator,middle,weak_modal_density_per_1k_words,0.0,0.0,0.0,124
moderator,middle,moral_density_per_1k_words,0.9038769276622807,0.880077109183817,0.9260786786721781,124
moderator,middle,stance_proxy_score,1.0887096774193548,0.8548387096774194,1.3147177419354836,124
moderator,middle,assertiveness_balance,-0.0025219189152701966,-0.003228889554998978,-0.0018514725987648546,124
moderator,middle,modality_balance,0.00011454791684073639,0.0,0.00024897057846848643,124
moderator,middle,lexical_overlap_prev_other_turn,0.12729541495138763,0.11993651838349931,0.13428157066099236,124
moderator,middle,semantic_similarity_prev_other_turn,0.5965386022201468,0.580333739629605,0.6118221711957065,124
moderator,middle,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,124
moderator,middle,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
moderator,middle,novelty_vs_prev_turn_lexical,0.8727045850486124,0.8652909321588996,0.8796683683724351,124
moderator,middle,novelty_vs_prev_turn_semantic,0.40346139777985324,0.38944310302093615,0.420300796214704,124
moderator,middle,novelty_vs_prev_opponent_turn_lexical,1.0,1.0,1.0,124
moderator,middle,novelty_vs_prev_opponent_turn_semantic,0.0,0.0,0.0,0
moderator,opening,confidence,0.0,0.0,0.0,0
moderator,opening,confidence_delta_within_role,0.0,0.0,0.0,0
moderator,opening,word_count,185.94520547945206,181.17739726027398,191.1239726027397,73
moderator,opening,avg_sentence_length,35.57572841922156,33.63222711459014,37.62295933898674,73
moderator,opening,lemma_type_token_ratio,0.7439025028282229,0.7344498339407817,0.7534613132162812,73
moderator,opening,vader_compound,-0.04658493150684931,-0.21862739726027391,0.11415616438356162,73
moderator,opening,evidence_density_per_1k_words,69.6686582289014,65.53702718991877,73.87052947115905,73
moderator,opening,rebuttal_density_per_1k_words,0.29117970561929446,0.06198475175106924,0.6029457843405254,73
moderator,opening,hedge_density_per_1k_words,3.3404615961466617,2.427268921732545,4.235328378419615,73
moderator,opening,assertive_density_per_1k_words,0.29143100211465894,0.0,0.7428284284809159,73
moderator,opening,strong_modal_density_per_1k_words,0.060081711127132904,0.0,0.18024513338139872,73
moderator,opening,weak_modal_density_per_1k_words,0.0,0.0,0.0,73
moderator,opening,moral_density_per_1k_words,0.8916061807874007,0.8645143808692978,0.9218660545232715,73
moderator,opening,stance_proxy_score,0.5753424657534246,0.2465753424657534,0.8767123287671232,73
moderator,opening,assertiveness_balance,-0.0030490305940320023,-0.004065745157063295,-0.002081778404762682,73
moderator,opening,modality_balance,6.00817111271329e-05,0.0,0.0001802451333813987,73
moderator,opening,lexical_overlap_prev_other_turn,0.13069293934122314,0.12149734569521778,0.13914723160945752,73
moderator,opening,semantic_similarity_prev_other_turn,0.6033907850076857,0.5846463443999583,0.6223787158845576,73
moderator,opening,lexical_overlap_prev_opponent_turn,0.0,0.0,0.0,73
moderator,opening,semantic_similarity_prev_opponent_turn,0.0,0.0,0.0,0
moderator,opening,novelty_vs_prev_turn_lexical,0.8693070606587768,0.8605446086868782,0.8781134484852131,73
moderator,opening,novelty_vs_prev_turn_semantic,0.3966092149923143,0.37925562449335926,0.41522662369561825,73
moderator,opening,novelty_vs_prev_opponent_turn_lexical,1.0,1.0,1.0,73
moderator,opening,novelty_vs_prev_opponent_turn_semantic,0.0,0.0,0.0,0
opponent,closing,confidence,60.08661417322835,58.51122047244094,61.8515748031496,127
opponent,closing,confidence_delta_within_role,5.826771653543307,4.377755905511812,7.504133858267716,127
opponent,closing,word_count,34.56692913385827,33.56692913385827,35.504133858267714,127
opponent,closing,avg_sentence_length,32.26377952755905,31.188877952755906,33.32332677165354,127
opponent,closing,lemma_type_token_ratio,0.9736186627870751,0.9675839450625017,0.9798495359894511,127
opponent,closing,vader_compound,-0.08987637795275588,-0.1764640748031496,-0.008446594488189012,127
opponent,closing,evidence_density_per_1k_words,24.75893128815328,20.55696814053312,29.19198629847719,127
opponent,closing,rebuttal_density_per_1k_words,3.369912120686167,1.7739073065339248,5.4154309004283965,127
opponent,closing,hedge_density_per_1k_words,6.064945559238616,3.9922171121008363,8.446403416795118,127
opponent,closing,assertive_density_per_1k_words,0.0,0.0,0.0,127
opponent,closing,strong_modal_density_per_1k_words,0.0,0.0,0.0,127
opponent,closing,weak_modal_density_per_1k_words,0.0,0.0,0.0,127
opponent,closing,moral_density_per_1k_words,4.910742135242028,4.723007781197052,5.09266872793786,127
opponent,closing,stance_proxy_score,0.07086614173228346,-0.015748031496062992,0.15748031496062992,127
opponent,closing,assertiveness_balance,-0.006064945559238617,-0.008463148835827137,-0.0038598440125379558,127
opponent,closing,modality_balance,0.0,0.0,0.0,127
opponent,closing,lexical_overlap_prev_other_turn,0.13610588474839844,0.1216265765060857,0.1490280118873804,127
opponent,closing,semantic_similarity_prev_other_turn,0.6346758554731332,0.6133673647013745,0.6545447771258103,127
opponent,closing,lexical_overlap_prev_opponent_turn,0.13610588474839844,0.12327644301783496,0.14947187604934772,127
opponent,closing,semantic_similarity_prev_opponent_turn,0.6346758554731332,0.6142370301303935,0.6554130848616782,127
opponent,closing,novelty_vs_prev_turn_lexical,0.8638941152516015,0.8502184964167254,0.8759984079057894,127
opponent,closing,novelty_vs_prev_turn_semantic,0.36532414452686685,0.3446369195532537,0.3858859308620332,127
opponent,closing,novelty_vs_prev_opponent_turn_lexical,0.8638941152516015,0.8498411635287213,0.8771886134802899,127
opponent,closing,novelty_vs_prev_opponent_turn_semantic,0.36532414452686685,0.34567074828613586,0.38747870242198607,127
opponent,middle,confidence,53.851485148514854,52.772277227722775,55.15841584158416,101
opponent,middle,confidence_delta_within_role,2.782178217821782,1.801485148514852,3.901237623762376,101
opponent,middle,word_count,34.48514851485149,33.375990099009904,35.693069306930695,101
opponent,middle,avg_sentence_length,32.5990099009901,31.386138613861387,33.861757425742574,101
opponent,middle,lemma_type_token_ratio,0.9726474370106852,0.965623852542618,0.9789927844578026,101
opponent,middle,vader_compound,-0.05826435643564358,-0.15765898514851484,0.04022398514851486,101
opponent,middle,evidence_density_per_1k_words,25.219703506388758,20.383045082374522,30.52477067052326,101
opponent,middle,rebuttal_density_per_1k_words,3.377369509366725,1.6557725025259296,5.358500475268632,101
opponent,middle,hedge_density_per_1k_words,1.3293179049409847,0.3414134516899966,2.720261597011341,101
opponent,middle,assertive_density_per_1k_words,0.0,0.0,0.0,101
opponent,middle,strong_modal_density_per_1k_words,0.0,0.0,0.0,101
opponent,middle,weak_modal_density_per_1k_words,0.0,0.0,0.0,101
opponent,middle,moral_density_per_1k_words,4.9354294147378575,4.754481239638849,5.124441761005459,101
opponent,middle,stance_proxy_score,0.019801980198019802,-0.07920792079207921,0.10891089108910891,101
opponent,middle,assertiveness_balance,-0.0013293179049409846,-0.0027455514823217105,-0.0002675943270002676,101
opponent,middle,modality_balance,0.0,0.0,0.0,101
opponent,middle,lexical_overlap_prev_other_turn,0.15834570622522692,0.14351749859981305,0.17485644671225548,101
opponent,middle,semantic_similarity_prev_other_turn,0.6703771957648805,0.6487816248749121,0.692618312607079,101
opponent,middle,lexical_overlap_prev_opponent_turn,0.15834570622522692,0.14264203980576018,0.17722670123218257,101
opponent,middle,semantic_similarity_prev_opponent_turn,0.6703771957648805,0.6475879922074412,0.6925412781325307,101
