model_name,metric,paired_runs,paired_gap_mean,paired_gap_ci_low,paired_gap_ci_high,paired_gap_median,paired_gap_q10,paired_gap_q90,paired_gap_positive_rate
gemma3:27b,confidence,40,-3.5579166666666664,-5.86459375,-1.198552083333334,-3.599999999999998,-13.333333333333329,6.6400000000000015,0.225
gemma3:27b,confidence_delta_within_role,40,-5.997916666666667,-8.10421875,-4.287447916666666,-4.0,-12.241666666666665,-0.9499999999999993,0.075
gemma3:27b,word_count,40,-2.2512500000000006,-3.5242604166666673,-0.9656562500000007,-2.4499999999999993,-7.675000000000004,2.5200000000000005,0.3
gemma3:27b,avg_sentence_length,40,1.7570833333333333,0.7460260416666663,2.874729166666666,1.0,-1.922500000000005,5.890000000000002,0.625
gemma3:27b,lemma_type_token_ratio,40,0.01286424469518374,0.0061514884671310215,0.019556285102673193,0.01588359849868809,-0.016628885003885072,0.037615567216391865,0.725
gemma3:27b,vader_compound,40,0.1684775,0.09829166562500002,0.23212392604166665,0.17456500000000003,-0.07559799999999998,0.5023645,0.75
gemma3:27b,evidence_density_per_1k_words,40,-10.560719868840454,-14.460270206869513,-6.229258910537836,-10.848677482395399,-24.469146706951584,1.0274037807697591,0.15
gemma3:27b,rebuttal_density_per_1k_words,40,1.258478944512546,-0.07164939292803474,2.8525846715266057,0.0,-0.5675921120913324,6.798748509274827,0.25
gemma3:27b,hedge_density_per_1k_words,40,2.6821427280015397,0.7528560694509056,4.842296688287706,0.0,-5.361492673992673,12.352128872411289,0.45
gemma3:27b,assertive_density_per_1k_words,40,0.1736111111111111,0.0,0.5208333333333334,0.0,0.0,0.0,0.025
gemma3:27b,strong_modal_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,weak_modal_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,moral_density_per_1k_words,40,0.30649623968932727,0.11106215863850416,0.4879351258647229,0.2970975157554623,-0.5181677701467033,0.9719517692977707,0.775
gemma3:27b,stance_proxy_score,40,-0.1841666666666667,-0.35416666666666663,-0.01790625,0.0,-1.0,0.4200000000000003,0.25
gemma3:27b,assertiveness_balance,40,-0.002508531616890429,-0.004542063672825239,-0.0003217602983945921,0.0,-0.012352128872411286,0.006760378510378511,0.225
gemma3:27b,modality_balance,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,lexical_overlap_prev_other_turn,40,-0.07745303698920339,-0.08635951263864954,-0.0678086252770046,-0.07807136174786677,-0.11407693018864741,-0.04240187604406311,0.0
gemma3:27b,semantic_similarity_prev_other_turn,40,-0.13498662074660078,-0.15548374460379039,-0.1147417938129911,-0.13702309951308278,-0.21373896677977355,-0.05700671776112426,0.025
gemma3:27b,lexical_overlap_prev_opponent_turn,40,-0.08149718762862711,-0.09073621551919657,-0.07289161843461608,-0.08447863104161327,-0.12267110594856405,-0.04492518877925347,0.0
gemma3:27b,semantic_similarity_prev_opponent_turn,40,-0.14840015872495999,-0.1738289394645986,-0.1229231090905735,-0.15655517821905038,-0.2512038453289978,-0.043909717569541214,0.025
gemma3:27b,novelty_vs_prev_turn_lexical,40,0.07745303698920336,0.06885019206153878,0.08593377673291912,0.07807136174786672,0.042401876044063126,0.11407693018864748,1.0
gemma3:27b,novelty_vs_prev_turn_semantic,40,0.13498662074660078,0.11411169193285435,0.15824508581669747,0.13702309951308278,0.05700671776112434,0.2137389667797735,0.975
gemma3:27b,novelty_vs_prev_opponent_turn_lexical,40,0.0814971876286271,0.07202528696860437,0.09054066869288811,0.08447863104161324,0.04492518877925352,0.12267110594856409,1.0
gemma3:27b,novelty_vs_prev_opponent_turn_semantic,40,0.14840015872495999,0.1239394699076642,0.17373140590146846,0.15655517821905035,0.04390971756954125,0.2512038453289978,0.975
