model_name,metric,paired_runs,paired_gap_mean,paired_gap_ci_low,paired_gap_ci_high,paired_gap_median,paired_gap_q10,paired_gap_q90,paired_gap_positive_rate
gemma3:27b,confidence,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0
gemma3:27b,confidence_delta_within_role,1,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,0.0
gemma3:27b,word_count,1,0.6000000000000014,0.6000000000000014,0.6000000000000014,0.6000000000000014,0.6000000000000014,0.6000000000000014,1.0
gemma3:27b,avg_sentence_length,1,0.6000000000000014,0.6000000000000014,0.6000000000000014,0.6000000000000014,0.6000000000000014,0.6000000000000014,1.0
gemma3:27b,lemma_type_token_ratio,1,0.009436392914653924,0.009436392914653924,0.009436392914653924,0.009436392914653924,0.009436392914653924,0.009436392914653924,1.0
gemma3:27b,vader_compound,1,0.17786,0.17786,0.17786,0.17786,0.17786,0.17786,1.0
gemma3:27b,evidence_density_per_1k_words,1,-15.977443609022558,-15.977443609022558,-15.977443609022558,-15.977443609022558,-15.977443609022558,-15.977443609022558,0.0
gemma3:27b,rebuttal_density_per_1k_words,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,hedge_density_per_1k_words,1,6.0606060606060606,6.0606060606060606,6.0606060606060606,6.0606060606060606,6.0606060606060606,6.0606060606060606,1.0
gemma3:27b,assertive_density_per_1k_words,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,strong_modal_density_per_1k_words,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,weak_modal_density_per_1k_words,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,moral_density_per_1k_words,1,0.0916982231709973,0.0916982231709973,0.0916982231709973,0.0916982231709973,0.0916982231709973,0.0916982231709973,1.0
gemma3:27b,stance_proxy_score,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,assertiveness_balance,1,-0.006060606060606061,-0.006060606060606061,-0.006060606060606061,-0.006060606060606061,-0.006060606060606061,-0.006060606060606061,0.0
gemma3:27b,modality_balance,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma3:27b,lexical_overlap_prev_other_turn,1,-0.027643980503106645,-0.027643980503106645,-0.027643980503106645,-0.027643980503106645,-0.027643980503106645,-0.027643980503106645,0.0
gemma3:27b,semantic_similarity_prev_other_turn,1,0.022753547445912403,0.022753547445912403,0.022753547445912403,0.022753547445912403,0.022753547445912403,0.022753547445912403,1.0
gemma3:27b,lexical_overlap_prev_opponent_turn,1,-0.07273633292241047,-0.07273633292241047,-0.07273633292241047,-0.07273633292241047,-0.07273633292241047,-0.07273633292241047,0.0
gemma3:27b,semantic_similarity_prev_opponent_turn,1,-0.026750032994311335,-0.026750032994311335,-0.026750032994311335,-0.026750032994311335,-0.026750032994311335,-0.026750032994311335,0.0
gemma3:27b,novelty_vs_prev_turn_lexical,1,0.02764398050310657,0.02764398050310657,0.02764398050310657,0.02764398050310657,0.02764398050310657,0.02764398050310657,1.0
gemma3:27b,novelty_vs_prev_turn_semantic,1,-0.022753547445912403,-0.022753547445912403,-0.022753547445912403,-0.022753547445912403,-0.022753547445912403,-0.022753547445912403,0.0
gemma3:27b,novelty_vs_prev_opponent_turn_lexical,1,0.07273633292241044,0.07273633292241044,0.07273633292241044,0.07273633292241044,0.07273633292241044,0.07273633292241044,1.0
gemma3:27b,novelty_vs_prev_opponent_turn_semantic,1,0.026750032994311335,0.026750032994311335,0.026750032994311335,0.026750032994311335,0.026750032994311335,0.026750032994311335,1.0
