feature,winner_mean,loser_mean,winner_minus_loser
char_count_mean,256.634126984127,205.31349206349208,51.320634920634944
late_minus_early_confidence,8.587378640776699,-6.177884615384615,14.765263256161314
late_confidence_mean,62.52857142857143,47.92307692307692,14.605494505494512
char_count_std,45.122831395149205,36.45967359437338,8.663157800775828
confidence_mean,58.34555555555555,51.24619047619048,7.0993650793650716
word_count_mean,35.24523809523809,28.436507936507937,6.808730158730157
middle_confidence_mean,55.99038461538461,50.43689320388349,5.5534914115011205
confidence_slope,1.724313186813186,-1.2461538461538437,2.9704670329670297
word_count_std,6.318516009146857,5.251582297424461,1.0669337117223963
confidence_std,5.289710018726125,4.783055239353044,0.5066547793730809
modality_balance_std,0.25996742839230014,0.09145402959055839,0.16851339880174176
turn_position_mean,0.5710204081632652,0.42897959183673484,0.14204081632653032
weak_modality_count_mean,0.15507936507936507,0.06063492063492063,0.09444444444444444
emotion_joy_mean,0.4789551380917796,0.3901498741411978,0.0888052639505818
late_minus_early_subjectivity,0.0554582072458286,-0.014588123681873674,0.07004633092770228
weak_modality_count_std,0.17770292941793026,0.11012854640310726,0.06757438301482299
late_minus_early_modality_balance,0.038834951456310676,-0.02403846153846154,0.06287341299477221
late_subjectivity_mean,0.42501316051673194,0.3678838141025641,0.057129346414167836
early_polarity_mean,0.08258056903991372,0.04245082629011201,0.04012974274980171
subjectivity_mean,0.3994741990401259,0.37068661422697985,0.028787584813146028
strong_modality_count_std,0.08406565676103687,0.05602355043764659,0.028042106323390284
strong_modality_count_mean,0.053492063492063494,0.0319047619047619,0.021587301587301592
middle_subjectivity_mean,0.37726228384710525,0.363057326534615,0.014204957312490274
polarity_mean,0.06695989890400604,0.05475417195930801,0.012205726944698028
emotion_surprise_mean,0.014709310138603628,0.004947963008839111,0.009761347129764517
subjectivity_slope,0.007899836002291351,-0.0011739276242154365,0.009073763626506788
modality_balance_slope,0.0012362637362637362,-0.0076923076923076945,0.008928571428571432
middle_polarity_mean,0.06754213668276168,0.05870398081268399,0.00883815587007769
middle_weak_modality_density_mean,0.005565280656235982,0.0027002114080174736,0.0028650692482185083
early_weak_modality_density_mean,0.004582854046419898,0.0017233195022241675,0.0028595345441957305
weak_modality_density_mean,0.004044162044528236,0.0021674910579513383,0.0018766709865768974
middle_strong_modality_density_mean,0.0017495943166339503,0.00028555111364934324,0.0014640432029846071
weak_modality_density_std,0.004581513267360985,0.00395396789130955,0.000627545376051435
early_strong_modality_density_mean,0.00193286500394881,0.0013208197031726444,0.0006120453007761656
strong_modality_density_mean,0.0015406959000534221,0.0010428774280653835,0.0004978184719880386
question_count_slope,0.0,-0.0004807692307692279,0.0004807692307692279
strong_modality_density_std,0.002376219542910538,0.0019039394170326904,0.0004722801258778475
late_weak_modality_density_mean,0.00268926199299996,0.0025421011202133026,0.00014716087278665753
exclamation_count_slope,0.0,0.0,0.0
exclamation_count_std,0.0,0.0,0.0
exclamation_count_mean,0.0,0.0,0.0
emotion_love_mean,0.0041135837089192745,0.004159540223190561,-4.595651427128679e-05
strong_modality_density_slope,-0.00026247906774374635,-0.0001616275769894973,-0.00010085149075424906
late_strong_modality_density_mean,0.0010139440391541232,0.0011285948383806138,-0.00011465079922649054
nrc_sadness_density_mean,0.014238215084006304,0.01460834326051334,-0.0003701281765070355
weak_modality_density_slope,-0.0003156274892151949,0.00013187835494094771,-0.0004475058441561426
late_minus_early_strong_modality_density,-0.0008992327310247038,-0.00020492505424561368,-0.0006943076767790901
nrc_disgust_density_mean,0.010314785775029164,0.01125975442764641,-0.0009449686526172459
late_polarity_mean,0.062231093245378954,0.06454859203296705,-0.002317498787588093
late_minus_early_weak_modality_density,-0.0018413733739442105,0.0008022112381600564,-0.002643584612104267
nrc_anger_density_mean,0.02049333353480764,0.023542706292438837,-0.0030493727576311955
nrc_joy_density_mean,0.009445218160387752,0.012637148578038269,-0.0031919304176505174
emotion_sadness_mean,0.10412868727471619,0.10742310625777693,-0.0032944189830607373
nrc_anticipation_density_mean,0.016233944397169773,0.021889714368264743,-0.00565576997109497
polarity_slope,-0.0027609967289654804,0.0032596179953087853,-0.006020614724274266
nrc_surprise_density_mean,0.004058846582896525,0.010274705624760332,-0.006215859041863807
question_count_mean,0.0,0.006666666666666666,-0.006666666666666666
nrc_fear_density_mean,0.03922124833404511,0.04650744677271,-0.00728619843866489
nrc_trust_density_mean,0.041918758326140206,0.04922331032481635,-0.007304551998676141
strong_modality_count_slope,-0.011057692307692312,-0.0019230769230769264,-0.009134615384615385
question_count_std,0.0,0.009851575622015229,-0.009851575622015229
early_subjectivity_mean,0.3680988981353059,0.3788293479007764,-0.010730449765470496
polarity_std,0.10533584986035517,0.1212354336976013,-0.01589958383724613
subjectivity_std,0.16677390440489595,0.18331388950813074,-0.01653998510323479
weak_modality_count_slope,-0.012293956043956047,0.005769230769230769,-0.018063186813186815
n_turns,4.371428571428571,4.390476190476191,-0.019047619047619868
late_modality_balance_mean,-0.06666666666666667,-0.038461538461538464,-0.028205128205128202
late_minus_early_polarity,-0.020200240091623592,0.021689584720834723,-0.041889824812458315
emotion_anger_mean,0.24016176826350152,0.2827087842542604,-0.04254701599075886
emotion_fear_mean,0.15793151942962255,0.2106107283194387,-0.05267920888981614
modality_balance_mean,-0.10158730158730159,-0.02873015873015873,-0.07285714285714286
early_modality_balance_mean,-0.10679611650485436,-0.014285714285714285,-0.09251040221914007
middle_modality_balance_mean,-0.15865384615384615,-0.04854368932038835,-0.11011015683345779
early_confidence_mean,53.640776699029125,54.10952380952381,-0.4687471104946823
word_count_slope,-0.605013736263737,0.8990384615384627,-1.5040521978021997
char_count_slope,-4.136332417582421,6.698633603238874,-10.834966020821295
