round,speaker_role,confidence,reply_to_turn,polarity,subjectivity,question_count,exclamation_count,word_count,char_count,strong_modality_count,weak_modality_count,strong_modality_density,weak_modality_density,modality_balance,nrc_positive_count,nrc_positive_density,nrc_trust_count,nrc_trust_density,nrc_joy_count,nrc_joy_density,nrc_anticipation_count,nrc_anticipation_density,emotion_joy,emotion_sadness,emotion_anger,emotion_fear,emotion_love,emotion_surprise,nrc_negative_count,nrc_negative_density,nrc_fear_count,nrc_fear_density,nrc_anger_count,nrc_anger_density,nrc_disgust_count,nrc_disgust_density,nrc_sadness_count,nrc_sadness_density,nrc_surprise_count,nrc_surprise_density
1,opponent,50.0,1.0,0.0,0.0625,0.0,0.0,48.0,351.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.6132253408432007,0.17531755566596985,0.1154952272772789,0.08190463483333588,0.0038310247473418713,0.010226271115243435,2.0,0.041666666666666664,1.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,proponent,55.0,0.0,-0.125,0.28095238095238095,0.0,0.0,35.0,238.0,0.0,0.0,0.0,0.0,0.0,4.0,0.11428571428571428,3.0,0.08571428571428572,1.0,0.02857142857142857,1.0,0.02857142857142857,0.451398640871048,0.275771826505661,0.24712634086608887,0.013742813840508461,0.00788315013051033,0.004077214282006025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,opponent,52.0,4.0,0.1875,0.53125,0.0,0.0,41.0,336.0,0.0,0.0,0.0,0.0,0.0,2.0,0.04878048780487805,0.0,0.0,0.0,0.0,1.0,0.024390243902439025,0.02720114029943943,0.5140045285224915,0.40693873167037964,0.047947000712156296,0.0023409128189086914,0.001567687257193029,3.0,0.07317073170731707,2.0,0.04878048780487805,1.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0
2,proponent,52.0,2.0,-0.20238095238095238,0.35714285714285715,0.0,0.0,39.0,267.0,0.0,0.0,0.0,0.0,0.0,2.0,0.05128205128205128,1.0,0.02564102564102564,0.0,0.0,1.0,0.02564102564102564,0.004292722325772047,0.2726471722126007,0.0433138832449913,0.6760620474815369,0.001247645472176373,0.002436496317386627,2.0,0.05128205128205128,2.0,0.05128205128205128,1.0,0.02564102564102564,1.0,0.02564102564102564,0.0,0.0,0.0,0.0
3,opponent,53.0,7.0,0.16666666666666666,0.8333333333333334,0.0,0.0,30.0,219.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.9077657461166382,0.055022332817316055,0.023132741451263428,0.0072137657552957535,0.004540640395134687,0.0023247876670211554,2.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,proponent,50.0,5.0,0.0,0.125,0.0,0.0,34.0,276.0,0.0,0.0,0.0,0.0,0.0,3.0,0.08823529411764706,1.0,0.029411764705882353,0.0,0.0,1.0,0.029411764705882353,0.029824649915099144,0.3222927451133728,0.6250675916671753,0.018708497285842896,0.002108798362314701,0.0019976587500423193,2.0,0.058823529411764705,0.0,0.0,1.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0
4,opponent,56.0,10.0,0.13333333333333333,0.6333333333333333,0.0,0.0,31.0,244.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.001376174041070044,0.9855170845985413,0.00924244336783886,0.003318177070468664,0.00030692864675074816,0.00023906772548798472,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,proponent,48.0,8.0,0.1498809523809524,0.2995238095238095,0.0,0.0,46.0,344.0,1.0,1.0,0.021739130434782608,0.021739130434782608,0.0,4.0,0.08695652173913043,2.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.004950643517076969,0.051909301429986954,0.7246617674827576,0.21496404707431793,0.0009893457172438502,0.0025249088648706675,8.0,0.17391304347826086,4.0,0.08695652173913043,3.0,0.06521739130434782,1.0,0.021739130434782608,1.0,0.021739130434782608,0.0,0.0
5,opponent,59.0,13.0,0.1,0.625,0.0,0.0,36.0,277.0,0.0,0.0,0.0,0.0,0.0,6.0,0.16666666666666666,5.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.6905128955841064,0.22641849517822266,0.05406394228339195,0.02332121692597866,0.0028846662025898695,0.0027988406363874674,5.0,0.1388888888888889,2.0,0.05555555555555555,1.0,0.027777777777777776,2.0,0.05555555555555555,0.0,0.0,1.0,0.027777777777777776
5,proponent,46.0,11.0,0.2,0.75,0.0,0.0,47.0,319.0,0.0,0.0,0.0,0.0,0.0,5.0,0.10638297872340426,4.0,0.0851063829787234,0.0,0.0,1.0,0.02127659574468085,0.02254687063395977,0.20101390779018402,0.7547856569290161,0.018200242891907692,0.00194586964789778,0.001507354318164289,2.0,0.0425531914893617,1.0,0.02127659574468085,1.0,0.02127659574468085,1.0,0.02127659574468085,0.0,0.0,0.0,0.0
