run_id,model_name,debate_role,initial_stance_proxy,final_stance_proxy,stance_proxy_delta,initial_stance_sign,final_stance_sign,stance_flip,turns_in_group
run_20260208_131027,dolphin-yi-34b,opponent,-0.0,-1.0,-1.0,0,-1,0,3
run_20260208_131027,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_131727,dolphin-yi-34b,moderator,0.0,-2.0,-2.0,0,-1,0,4
run_20260208_131727,dolphin-yi-34b,opponent,-0.0,1.0,1.0,0,1,0,4
run_20260208_131727,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_132525,dolphin-yi-34b,moderator,-1.0,1.0,2.0,-1,1,1,5
run_20260208_132525,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_132525,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_133351,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,5
run_20260208_133351,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_133351,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_134040,dolphin-yi-34b,moderator,0.0,0.0,0.0,0,0,0,4
run_20260208_134040,dolphin-yi-34b,opponent,-0.0,-1.0,-1.0,0,-1,0,4
run_20260208_134040,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,4
run_20260208_134934,dolphin-yi-34b,moderator,0.0,1.0,1.0,0,1,0,5
run_20260208_134934,dolphin-yi-34b,opponent,-1.0,-1.0,0.0,-1,-1,0,5
run_20260208_134934,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_135839,dolphin-yi-34b,moderator,1.0,2.0,1.0,1,1,0,5
run_20260208_135839,dolphin-yi-34b,opponent,-0.0,-0.0,0.0,0,0,0,5
run_20260208_135839,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,5
run_20260208_140514,dolphin-yi-34b,moderator,-2.0,-3.0,-1.0,-1,-1,0,3
run_20260208_140514,dolphin-yi-34b,opponent,-0.0,1.0,1.0,0,1,0,3
run_20260208_140514,dolphin-yi-34b,proponent,0.0,0.0,0.0,0,0,0,3
run_20260208_141220,dolphin-yi-34b,moderator,1.0,-1.0,-2.0,1,-1,1,4
