model_name,metric,paired_runs,paired_gap_mean,paired_gap_ci_low,paired_gap_ci_high,paired_gap_median,paired_gap_q10,paired_gap_q90,paired_gap_positive_rate
dolphin-yi-34b,confidence,40,-15.610416666666666,-19.56882291666667,-11.36063541666667,-16.5,-35.13333333333333,-1.4599999999999995,0.075
dolphin-yi-34b,confidence_delta_within_role,35,-5.780952380952381,-7.36702380952381,-4.506607142857144,-4.5,-12.0,-1.5999999999999996,0.0
dolphin-yi-34b,word_count,40,-11.679583333333333,-14.918541666666666,-8.63665625,-9.633333333333333,-25.55,-1.3799999999999983,0.075
dolphin-yi-34b,avg_sentence_length,40,-2.023402777777778,-3.327557291666666,-0.6906770833333337,-1.575000000000001,-7.3,3.0500000000000007,0.35
dolphin-yi-34b,lemma_type_token_ratio,40,0.025926601252312876,0.0121396251596266,0.0403588309032158,0.010263157894736807,0.0,0.08783046663481442,0.575
dolphin-yi-34b,vader_compound,40,0.051324000000000015,-0.0631172645833333,0.16345732916666664,-0.023212499999999997,-0.44515449999999995,0.5812445000000002,0.475
dolphin-yi-34b,evidence_density_per_1k_words,40,-14.744230119756367,-24.672077530909576,-4.165973632472025,-10.345880945157926,-51.7892156862745,7.792642140468228,0.175
dolphin-yi-34b,rebuttal_density_per_1k_words,40,-0.5796030218475885,-4.7034478371139095,2.2344221305474656,0.0,0.0,7.788193202146691,0.125
dolphin-yi-34b,hedge_density_per_1k_words,40,-0.13665055158323228,-2.4319834784951064,1.425928192574459,0.0,0.0,0.0,0.075
dolphin-yi-34b,assertive_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin-yi-34b,strong_modal_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin-yi-34b,weak_modal_density_per_1k_words,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin-yi-34b,moral_density_per_1k_words,40,3.311996293803733,2.304314010253185,4.542329563906427,2.848064561601217,0.28149952159528857,6.406894330015642,0.9
dolphin-yi-34b,stance_proxy_score,40,-0.04916666666666666,-0.20592708333333323,0.10503124999999998,0.0,-0.5166666666666666,0.3000000000000007,0.175
dolphin-yi-34b,assertiveness_balance,40,0.00013665055158323253,-0.001386189310485515,0.0022858696474057534,0.0,0.0,0.0,0.025
dolphin-yi-34b,modality_balance,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin-yi-34b,lexical_overlap_prev_other_turn,40,-0.22123442951096867,-0.2613858971140183,-0.1828152170156511,-0.2081942068772191,-0.39250765806816085,-0.08342415507885685,0.0
dolphin-yi-34b,semantic_similarity_prev_other_turn,35,-0.11960034107800287,-0.15355780123878712,-0.08345012211196082,-0.14354628621178167,-0.22254284167716218,0.03545454198479965,0.14285714285714285
dolphin-yi-34b,lexical_overlap_prev_opponent_turn,40,-0.14808955810342833,-0.1791014773979595,-0.11425336648412622,-0.10415630422209368,-0.26258103627924595,-0.0535236760634132,0.0
dolphin-yi-34b,semantic_similarity_prev_opponent_turn,35,-0.053451176061492196,-0.07794741670930244,-0.034373582788830036,-0.03176438031699058,-0.13339452336151958,0.002772364970564196,0.14285714285714285
dolphin-yi-34b,novelty_vs_prev_turn_lexical,40,0.22123442951096867,0.18175409182303534,0.2603935447813711,0.20819420687721907,0.08342415507885698,0.3925076580681608,1.0
dolphin-yi-34b,novelty_vs_prev_turn_semantic,35,0.11960034107800287,0.08496576035955579,0.15246240793815014,0.14354628621178164,-0.0354545419847997,0.22254284167716226,0.8571428571428571
dolphin-yi-34b,novelty_vs_prev_opponent_turn_lexical,40,0.14808955810342833,0.11737630691695981,0.18362598168149435,0.10415630422209371,0.053523676063413315,0.262581036279246,1.0
dolphin-yi-34b,novelty_vs_prev_opponent_turn_semantic,35,0.053451176061492196,0.032773122265261974,0.07670028743904368,0.03176438031699058,-0.0027723649705641102,0.13339452336151963,0.8285714285714286
